position_global,page_num,page_pos,competitor_listing_id,district,address,area_m2,price_rub,our_best_price_rub,price_alert,price_diff_rub,price_diff_pct,price_scope,pro_mark,pro_note,competitor_link,our_best_link,result,matched_count,reason
352,1,352,14257,,"Санкт-Петербург г, Кременчугская ул, 11",1500,525 000 000,100 000,У нас дешевле на 524 900 000 (100.0%),-524 900 000,-100.0%,any_type,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/vidovoi-restoran-v-apart-komplekse-v-centre"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/10785"",""ссылка"")","По адресу есть, но площадь другая",3,"Архив rent 126 м² 130 000 =HYPERLINK(""https://app.worldcafe.ru/object/9928"",""ссылка"") | Архив rent 100 м² 100 000 =HYPERLINK(""https://app.worldcafe.ru/object/10785"",""ссылка"") | Архив rent 97 м² 120 000 =HYPERLINK(""https://app.worldcafe.ru/object/12829"",""ссылка"")"
353,1,353,14244,,"Санкт-Петербург г, Бакунина пр-кт, 29а",4000,500 000 000,290 000,У нас дешевле на 499 710 000 (99.9%),-499 710 000,-99.9%,any_type,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-bc-na-bakunina"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/19240"",""ссылка"")","По адресу есть, но площадь другая",1,"На сайте rent 153 м² 290 000 =HYPERLINK(""https://app.worldcafe.ru/object/19240"",""ссылка"")"
354,1,354,14231,,"Ленинградская обл, Узигонты д, -, -",47000,120 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-zemelnogo-ucastka-v-d-uzigonty"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
355,1,355,14168,,"Санкт-Петербург г, Кустодиева ул, 3к1стр1",231.7,90 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-2317m2-magnit"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
356,1,356,14164,,"Санкт-Петербург г, 1-й Предпортовый проезд, 15стр1",149,43 200 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-psn-14967m2"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
357,1,357,14065,,"Санкт-Петербург г, Подъездной пер, 13а",247.1,80 000 000,82 999 824,У нас дороже на 2 999 824 (3.7%),2 999 824,3.7%,sale_only,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-pod-restoran-v-acqualinaapartmen"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/13575"",""ссылка"")",Совпало,1,"На сайте sale 247.1 м² 82 999 824 =HYPERLINK(""https://app.worldcafe.ru/object/13575"",""ссылка"")"
358,1,358,14014,,"Санкт-Петербург г, Лиговский пр-кт, 65 А",54.3,50 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-na-trafike-543m"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
359,1,359,14010,,"Санкт-Петербург г, Лиговский пр-кт, 127 А",785.2,274 809 500,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-1-liniia-ligovskii-prospekt-1"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
360,1,360,13976,,"Ленинградская обл, Всеволожск г, Дорога Жизни ш, 46",655,105 000 000,105 000 000,Цена равна,0,0.0%,sale_only,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-s-piaterockoi-1"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/19005"",""ссылка"")",Совпало,1,"Архив sale 653.4 м² 105 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/19005"",""ссылка"")"
361,1,361,13973,,"Псковская обл, Остров г, 25 Октября ул, 35",214.2,2 250 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-v-pskovskaia-obl"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
